SEQ='SI'     NUCCHG=14                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  63496277.5   NPRNTI= 5   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   314     2    3S1 3P2 8H1         (3)6(19.0)   124326.1*
   315     2    3S1 3P2 8H1         (3)4(13.0)   124326.1*
   316     2    3S1 3P2 8H1         (3)5(16.0)   124326.1*
   317     2    3S1 3P2 8H1         (5)4(22.0)   124326.1*
   318     3    3S1 3P2 4P1         (1)2( 2.0)   124326.6*
   319     2    3S1 3P2 8F1         (3)4(13.0)   124328.4*
   320     2    3S1 3P2 8I1         (3)7(22.0)   124329.7*
   321     2    3S1 3P2 8I1         (5)6(32.0)   124329.7*
   322     2    3S1 3P2 8I1         (5)7(37.0)   124329.7*
   323     2    3S1 3P2 8I1         (3)5(16.0)   124329.7*
   324     2    3S1 3P2 8I1         (5)5(27.0)   124329.7*
   325     2    3S1 3P2 8I1         (3)6(19.0)   124329.7*
   326     2    3S1 3P2 8J1         (3)8(25.0)   124331.5*
   327     2    3S1 3P2 8J1         (5)8(42.0)   124331.5*
   328     2    3S1 3P2 8J1         (5)7(37.0)   124331.5*
   329     2    3S1 3P2 8J1         (3)7(22.0)   124331.5*
   330     2    3S1 3P2 8J1         (3)6(19.0)   124331.5*
   331     2    3S1 3P2 8J1         (5)6(32.0)   124331.5*
   332     2    3S1 3P2 8F1         (5)3(17.0)   124349.0*
   333     2    3S1 3P2 8F1         (3)3(10.0)   124358.3*
   334     2    3S1 3P2 8D1         (3)2( 7.0)   124406.1*
   335     3    3S1 3P2 4P1         (3)3(10.0)   124437.6*
   336     3    3S1 3P2 4P1         (1)3( 3.0)   125749.3*
   337     3    3S1 3P2 4P1         (3)1( 4.0)   126292.1*
   338     3    3S1 3P2 4P1         (1)1( 1.0)   127167.4*
   339     3    3S1 3P2 5S1         (3)2( 7.0)   130248.7*
   340     3    3S1 3P2 5S1         (1)2( 2.0)   130989.3*
   341     3    3S1 3P2 4D1         (3)4(13.0)   132354.4*
   342     3    3S1 3P2 5P1         (3)2( 7.0)   132852.2*
   343     3    3S1 3P2 4D1         (3)2( 7.0)   133058.1*
   344     3    3S1 3P2 5P1         (3)3(10.0)   133067.4*
   345     3    3S1 3P2 5P1         (1)2( 2.0)   133084.7*
   346     3    3S1 3P2 4D1         (1)3( 3.0)   133455.2*
   347     3    3S1 3P2 5P1         (1)3( 3.0)   133476.5*
   348     4    3S1 3P2 4S1         (3)0( 1.0)   133495.7*
